activity_id,activity_type,time,duration,thread_id,created_at,updated_at
25294,email,2021-01-16 05:14:47+00,,65,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
35901,email,2021-02-03 07:14:37+00,,1589,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
33632,meeting,2020-12-24 02:00:00+00,30,,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
22089,email,2021-01-01 21:53:42+00,,4954,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
8171,email,2021-04-01 03:05:49+00,,12252,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
32474,email,2020-12-18 20:27:00+00,,15476,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
19365,email,2021-03-20 18:19:17+00,,20630,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
27898,email,2021-01-28 04:29:01+00,,26811,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
9202,meeting,2021-04-05 21:00:00+00,30,,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
20130,email,2021-03-24 04:46:39+00,,44484,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
34647,email,2020-12-28 13:54:11+00,,44591,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
4436,meeting,2020-11-14 12:00:00+00,30,,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
18575,meeting,2021-03-17 03:00:00+00,30,,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
14572,email,2021-04-29 21:56:31+00,,53618,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
12031,email,2021-04-18 15:47:29+00,,56220,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
23872,email,2021-01-09 21:20:36+00,,58916,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
36736,email,2021-02-07 01:39:38+00,,64777,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
10559,meeting,2021-04-11 23:00:00+00,30,,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
19182,email,2021-03-19 22:11:34+00,,67105,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
9309,email,2021-04-06 07:41:14+00,,79302,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
14837,email,2021-04-30 03:19:33+00,,81889,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
20762,email,2021-03-26 23:18:43+00,,84681,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
24623,email,2021-01-13 05:32:03+00,,86601,2021-02-21T14:53:15.866Z,2021-02-21T14:53:15.866Z
